nome,historico,campus,sigla
SRS - Tecnologia em Produção de Grãos,Tecnologia em Produção de Grãos,Campus Sorriso,SRS
SVC - Bacharelado em Agronomia - Integral - Campo Verde,Bacharelado em Agronomia,Campus São Vicente,SVC
SVC - Bacharelado em Agronomia - Noturno - Campo Verde,Bacharelado em Agronomia - Noturno,Campus São Vicente,SVC
SVC - Bacharelado em Zootecnia - Integral - São Vicente,Bacharelado em Zootecnia,Campus São Vicente,SVC
SVC - Especialização em Ensino de Ciências da Natureza,Especialização em Ensino de Ciências da Natureza,Campus São Vicente,SVC
SVC - Licenciatura em Ciências da Natureza com Habilitação em Biologia,Licenciatura em Ciências da Natureza com Habilitação em Biologia,Campus São Vicente,SVC
SVC - Licenciatura em Ciências da Natureza - Jaciara,Licenciatura em Ciências da Natureza,Campus São Vicente,SVC
SVC - Técnico em Agropecuária - Integrado - São Vicente,Técnico em Agropecuária Integrado Ao Nível Médio,Campus São Vicente,SVC
SVC - Técnico em Brinquedoteca,Técnico em Brinquedoteca Subsequente Ao Ensino Médio,Campus São Vicente,SVC
SVC - Técnico em Meio Ambiente Integrado Ao Ensino Médio,Técnico em Meio Ambiente Integrado Ao Ensino Médio,Campus São Vicente,SVC
SVC - Tecnologia em Análise e Desenvolvimento de Sistemas - Campo Verde,Tecnologia em Análise e Desenvolvimento de Sistemas,Campus São Vicente,SVC
Técnico em Agropecuária - Integrado - Integral - Campo Novo do Parecis,Técnico em Agropecuária Integrado Ao Ensino Médio,Campus Campo Novo do Parecis,CNP
Técnico em Agropecuária - Subsequente - Noturno - Campo Novo do Parecis,Técnico em Agropecuária,Campus Campo Novo do Parecis,CNP
Técnico em Alimentos - Integrado - Matutino  - Barra do Garças,Ensino Médio Técnico Integrado em Alimentos,Campus Barra do Garças,BAG
Técnico em Comércio Proeja - Integrado - Campo Novo do Parecis,Técnico em Comércio Integrado Ao Ensino Médio,Campus Campo Novo do Parecis,CNP
TGA - FIC - Conselheiros dos Direitos e Conselheiros Tutelares da Criança e do Adolescente na Amazônia Legal,Formação Continuada para Conselheiros dos Direitos e Conselheiros Tutelares da Criança e do Adolescente na Amazônia Legal,Campus Tangara da Serra,TGA
