nome,historico,campus,sigla
CNP - Licenciatura em Matemática,Licenciatura em Matemática,Campus Campo Novo do Parecis,CNP
CNP - Técnico em Agropecuária 2016 - Integrado - Integral - Campo Novo do Parecis,Técnico em Agropecuária Integrado Ao Ensino Médio,Campus Campo Novo do Parecis,CNP
CNP - Tecnologia em Agroindústria,Tecnologia em Agroindústria,Campus Campo Novo do Parecis,CNP
CNP - Tecnologia em Processos Gerenciais,Tecnologia em Processos Gerenciais,Campus Campo Novo do Parecis,CNP
CREAD - Especialização em Segurança Pública,Pós Graduação Lato Sensu em Segurança Pública,Campus Barra do Garças,BAG
CREAD - Pós-Graduação em Gestão Integrada de Segurança Pública,Pós-Graduação em Gestão Integrada de Segurança Pública,Campus Avançado Guarantã do Norte,GTA
CREAD - Técnico em Desenvolvimento Infantil Subsequente ao Nível Médio,Técnico em Desenvolvimento Infantil Subsequente ao Nível Médio,Reitoria,RTR
DMT - FIC - Práticas e Ferramentas Pedagógicas,Formação Inicial e Continuada em Práticas e Ferramentas Pedagógicas,Campus Diamantino,DMT
DMT - Licenciatura em Ciências Biológicas,Licenciatura em Ciências Biológicas,Campus Diamantino,DMT
DMT - Técnico em Administração - Integrado,Técnico em Administração Integrado Ao Ensino Médio,Campus Diamantino,DMT
DMT - Técnico em Agricultura - Integrado,Técnico em Agricultura Integrado Ao Nível Médio,Campus Diamantino,DMT
Fic - Língua Portuguesa e Cultura Brasileira para Estrangeiros - Básico,Fic - Língua Portuguesa e Cultura Brasileira para Estrangeiros - Básico,Campus Cuiabá-Bela Vista,BLV
GTA - Bacharelado em Zootecnia,Bacharel em Zootecnia,Campus Avançado Guarantã do Norte,GTA
GTA - Curso Técnico em Agropecuária Integrado Ao Ensino Médio,Técnico em Agropecuária Integrado Ao Ensino Médio,Campus Avançado Guarantã do Norte,GTA
GTA - Curso Técnico em Agropecuária Subsequente Ao Ensino Médio,Técnico em Agropecuária Subsequente Ao Ensino Médio,Campus Avançado Guarantã do Norte,GTA
GTA - Licenciatura em Ciências da Natureza com Habilitação em Biologia,Licenciatura em Ciências da Natureza com Habilitação em Biologia,Campus Avançado Guarantã do Norte,GTA
GTA - Tecnologia em Agroindústria - Noturno,Tecnólogo em Agroindústria,Campus Avançado Guarantã do Norte,GTA
JNA - Bacharelado em Administração,Bacharelado em Administração,Campus Juína,JNA
JNA - Bacharelado em Agronomia,Bacharelado em Agronomia,Campus Juína,JNA
JNA - Especialização em Ensino de Ciências da Natureza e Matemática,Especialização em Ensino de Ciências da Natureza e Matemática,Reitoria,RTR
JNA - Licenciatura em Ciências Biológicas,Licenciatura em Ciências Biológicas,Campus Juína,JNA
JNA - Licenciatura em Matemática,Licenciatura em Matemática,Campus Juína,JNA
JNA - Técnico em Agropecuária - Integrado - Integral - Juína,Técnico em Agropecuária Integrado Ao Ensino Médio,Campus Juína,JNA
LRV - Bacharelado em Biotecnologia - Noturno,Bacharelado em Biotecnologia,Campus Lucas do Rio Verde,LRV
LRV - FIC - Atualização em Ciências da Natureza com ênfase em Biologia,Formação Inicial e Continuada para Professores do Ensino Fundamental - Atualização em Ciências da Natureza com ênfase em Biologia,Campus Lucas do Rio Verde,LRV
LRV - FIC - Discentes do 9º ano do Ensino Fundamental–Reforçando os Descritores em Língua Portuguesa,Formação Inicial e Continuada para Discentes do 9º ano do Ensino Fundamental–Reforçando os Descritores em Língua Portuguesa,Campus Lucas do Rio Verde,LRV
